	idcollege	periode	college	volgnummerbasiscollege	basis	id	old_idcollege	old_id
35	38	2	Generale Directie der Convooien en Licenten (1815-1818)	0.0	0	0	negentiende_eeuw_38	negentiende_eeuw_0
36	39	2	Generale Directie der Indirecte Belastingen (1815-1818)	0.0	0	0	negentiende_eeuw_39	negentiende_eeuw_0
37	40	2	Generale Directie der In- en Uitgaande Rechten en Indirecte Belastingen (1818-1821)	0.0	0	0	negentiende_eeuw_40	negentiende_eeuw_0
38	41	2	Departement van Ontvangsten (1824-1831)	0.0	0	0	negentiende_eeuw_41	negentiende_eeuw_0
39	42	2	Hoge Raad (1838-1861)	0.0	0	0	negentiende_eeuw_42	negentiende_eeuw_0
40	50	2	Criminele Rechtbank (1838-1841)	0.0	0	0	negentiende_eeuw_50	negentiende_eeuw_0
41	56	2	Hoog Militair Gerechtshof (1814-1861)	0.0	0	0	negentiende_eeuw_56	negentiende_eeuw_0
42	57	2	Hoog Gerechtshof voor Financiën en Zeezaken (1814-1819)	0.0	0	0	negentiende_eeuw_57	negentiende_eeuw_0
43	58	2	Provinciaal Gerechtshof van Utrecht (1838-1861)	0.0	0	0	negentiende_eeuw_58	negentiende_eeuw_0
44	59	2	Provinciaal Gerechtshof van Groningen (1838-1861)	0.0	0	0	negentiende_eeuw_59	negentiende_eeuw_0
45	60	2	Provinciaal Gerechtshof van Drenthe (1838-1861)	0.0	0	0	negentiende_eeuw_60	negentiende_eeuw_0
46	61	2	Provinciaal Gerechtshof van Friesland (1838-1861)	0.0	0	0	negentiende_eeuw_61	negentiende_eeuw_0
47	62	2	Provinciaal Gerechtshof van Limburg (1842-1861)	0.0	0	0	negentiende_eeuw_62	negentiende_eeuw_0
48	63	2	Provinciaal Gerechtshof van Noord-Brabant (1838-1861)	0.0	0	0	negentiende_eeuw_63	negentiende_eeuw_0
49	64	2	Provinciaal Gerechtshof van Zeeland (1838-1861)	0.0	0	0	negentiende_eeuw_64	negentiende_eeuw_0
50	65	2	Provinciaal Gerechtshof van Overijssel (1838-1861)	0.0	0	0	negentiende_eeuw_65	negentiende_eeuw_0
51	66	2	Provinciaal Gerechtshof van Gelderland (1838-1861)	0.0	0	0	negentiende_eeuw_66	negentiende_eeuw_0
52	67	2	Provinciaal Gerechtshof van Zuid-Holland (1842-1861)	0.0	0	0	negentiende_eeuw_67	negentiende_eeuw_0
53	68	2	Provinciaal Gerechtshof van Noord-Holland (1842-1861)	0.0	0	0	negentiende_eeuw_68	negentiende_eeuw_0
54	69	2	Provinciaal Gerechtshof van Holland (1838-1841)	0.0	0	0	negentiende_eeuw_69	negentiende_eeuw_0
55	70	2	Provinciale Staten van Drenthe (1814-1861)	0.0	0	0	negentiende_eeuw_70	negentiende_eeuw_0
56	71	2	Provinciale Staten van Groningen (1814-1861)	0.0	0	0	negentiende_eeuw_71	negentiende_eeuw_0
57	72	2	Provinciale Staten van Utrecht (1814-1861)	0.0	0	0	negentiende_eeuw_72	negentiende_eeuw_0
58	73	2	Provinciale Staten van Overijssel (1814-1861)	0.0	0	0	negentiende_eeuw_73	negentiende_eeuw_0
59	74	2	Provinciale Staten van Noord-Brabant (1814-1861)	0.0	0	0	negentiende_eeuw_74	negentiende_eeuw_0
60	75	2	Provinciale Staten van Zeeland (1814-1861)	0.0	0	0	negentiende_eeuw_75	negentiende_eeuw_0
61	76	2	Provinciale Staten van Holland (1814-1840)	0.0	0	0	negentiende_eeuw_76	negentiende_eeuw_0
62	77	2	Provinciale Staten van Noord-Holland (1840-1861)	0.0	0	0	negentiende_eeuw_77	negentiende_eeuw_0
63	78	2	Provinciale Staten van Zuid-Holland (1840-1861)	0.0	0	0	negentiende_eeuw_78	negentiende_eeuw_0
64	79	2	Provinciale Staten van Friesland (1814-1861)	0.0	0	0	negentiende_eeuw_79	negentiende_eeuw_0
65	80	2	Gedeputeerde Staten van Drenthe (1814-1861)	0.0	0	0	negentiende_eeuw_80	negentiende_eeuw_0
66	81	2	Gedeputeerde Staten van Groningen (1814-1861)	0.0	0	0	negentiende_eeuw_81	negentiende_eeuw_0
67	82	2	Gedeputeerde Staten van Friesland (1814-1861)	0.0	0	0	negentiende_eeuw_82	negentiende_eeuw_0
68	83	2	Gedeputeerde Staten van Overijssel (1814-1861)	0.0	0	0	negentiende_eeuw_83	negentiende_eeuw_0
69	84	2	Gedeputeerde Staten van Utrecht (1814-1861)	0.0	0	0	negentiende_eeuw_84	negentiende_eeuw_0
70	85	2	Gedeputeerde Staten van Noord-Brabant (1814-1861)	0.0	0	0	negentiende_eeuw_85	negentiende_eeuw_0
71	86	2	Gedeputeerde Staten van Zeeland (1814-1861)	0.0	0	0	negentiende_eeuw_86	negentiende_eeuw_0
